no,Player,pos,wt,birth_date,nationality,exp,college,year,team,result
33,Ryan Reid,PF,232,30-Oct-86,us,R,Florida State,2012,OKC,lost
2,Thabo Sefolosha,SG,215,2-May-84,ch,5,,2012,OKC,lost
0,Russell Westbrook,PG,200,12-Nov-88,us,3,UCLA,2012,OKC,lost
11,James Anderson,SF,213,25-Mar-89,us,2,Oklahoma State,2013,SAS,lost
16,Aron Baynes,C,260,9-Dec-86,nz,R,Washington State,2013,SAS,lost
45,DeJuan Blair,PF,270,22-Apr-89,us,3,Pitt,2013,SAS,lost
15,Matt Bonner,PF,235,5-Apr-80,us,8,Florida,2013,SAS,lost
25,Nando De Colo,SG,200,23-Jun-87,fr,R,,2013,SAS,lost
33,Boris Diaw,PF,250,16-Apr-82,fr,9,,2013,SAS,lost
21,Tim Duncan,C,250,25-Apr-76,vi,15,Wake Forest,2013,SAS,lost
20,Manu Ginóbili,SG,205,28-Jul-77,ar,10,,2013,SAS,lost
4,Danny Green,SG,215,22-Jun-87,us,3,UNC,2013,SAS,lost
3,Stephen Jackson,SF,218,5-Apr-78,us,12,Butler County Community College,2013,SAS,lost
5,Cory Joseph,PG,200,20-Aug-91,ca,1,Texas,2013,SAS,lost
2,Kawhi Leonard,SF,225,29-Jun-91,us,1,San Diego State,2013,SAS,lost
1,Tracy McGrady,SF,210,24-May-79,us,15,,2013,SAS,lost
8,Patty Mills,PG,180,11-Aug-88,au,3,Saint Mary's,2013,SAS,lost
14,Gary Neal,SG,210,3-Oct-84,us,2,"La Salle, Towson University",2013,SAS,lost
9,Tony Parker,PG,185,17-May-82,be,11,,2013,SAS,lost
22,Tiago Splitter,PF,245,1-Jan-85,br,2,,2013,SAS,lost
34,Ray Allen,SG,205,20-Jul-75,us,17,UConn,2014,MIA,lost
11,Chris Andersen,C,245,7-Jul-78,us,11,Blinn College,2014,MIA,lost
50,Joel Anthony,C,245,9-Aug-82,ca,6,UNLV,2014,MIA,lost
31,Shane Battier,SF,220,9-Sep-78,us,12,Duke,2014,MIA,lost
8,Michael Beasley,SF,235,9-Jan-89,us,5,Kansas State,2014,MIA,lost
1,Chris Bosh,C,235,24-Mar-84,us,10,Georgia Tech,2014,MIA,lost
15,Mario Chalmers,PG,190,19-May-86,us,5,Kansas,2014,MIA,lost
30,Norris Cole,PG,175,13-Oct-88,us,2,Cleveland State University,2014,MIA,lost
0,Toney Douglas,PG,195,16-Mar-86,us,4,"Auburn, Florida State",2014,MIA,lost
7,Justin Hamilton,C,260,1-Apr-90,us,R,"Iowa State, LSU",2014,MIA,lost
40,Udonis Haslem,PF,235,9-Jun-80,us,10,Florida,2014,MIA,lost
6,LeBron James,PF,250,30-Dec-84,us,10,,2014,MIA,lost
22,James Jones,SF,218,4-Oct-80,us,10,Miami (FL),2014,MIA,lost
9,Rashard Lewis,SF,215,8-Aug-79,us,15,,2014,MIA,lost
14,DeAndre Liggins,SG,209,31-Mar-88,us,2,Kentucky,2014,MIA,lost
21,Roger Mason,SG,200,10-Sep-80,us,9,Virginia,2014,MIA,lost
20,Greg Oden,C,250,22-Jan-88,us,2,Ohio State,2014,MIA,lost
3,Dwyane Wade,SG,220,17-Jan-82,us,10,Marquette,2014,MIA,lost
89,Lou Amundson,PF,220,7-Dec-82,us,8,UNLV,2015,CLE,lost
5,Will Cherry,PG,185,8-Feb-91,us,R,Montana,2015,CLE,lost
8,Matthew Dellavedova,SG,200,8-Sep-90,au,1,Saint Mary's,2015,CLE,lost
12,Joe Harris,SG,220,6-Sep-91,us,R,Virginia,2015,CLE,lost
33,Brendan Haywood,C,268,27-Nov-79,us,12,UNC,2015,CLE,lost
